{'tip': '小贴士：“显示”：“示”字旁即“礻”，“上海”简称“申”，合为“神”，“连日”扣“田”，加上“雨”为“雷”字，合为“雷神”。', 'mystery': '谜面：显示上海连日有雨 （打一电影名）', 'answer': '谜底：雷神'}
{'tip': '小贴士：谜底“天下无贼”应顿读为“天下无、贼”。', 'mystery': '谜面：江山丧尽成流寇 （打四字电影名）', 'answer': '谜底：天下无贼'}
{'tip': '小贴士：“尊”，今作樽，是商周时代中国的一种大中型盛酒器。', 'mystery': '谜面：一沾酒就上脸 （打四字电视剧名）', 'answer': '谜底：至尊红颜'}
{'tip': '', 'mystery': '谜面：飞阁流丹青灯老·双钩格 （四字电影）', 'answer': '谜底：春归红楼'}
{'tip': '', 'mystery': '谜面：金田 （三字电影）', 'answer': '谜底：黄土地'}
{'tip': '', 'mystery': '谜面：驴象相对 （外国电影）', 'answer': '谜底：美国派2'}
{'tip': '', 'mystery': '谜面：假设天帝同意牛郎织女在一起 （打一韩国电影）', 'answer': '谜底：假如爱有天意'}
{'tip': '', 'mystery': '谜面：幸福的董永 （打一电视剧）', 'answer': '谜底：家有仙妻'}
{'tip': '', 'mystery': '谜面：在很大的岛屿上相爱 （打一电影名）', 'answer': '谜底：广岛之恋'}
{'tip': '', 'mystery': '谜面：傍晚的余晖洒满了整个小镇 （打一电影名）', 'answer': '谜底：暮光之城'}
{'tip': '', 'mystery': '谜面：一只很有名的狗 （打一动画名）', 'answer': '谜底：史努比'}
{'tip': '', 'mystery': '谜面：苍翠日在眼 （三字电影）', 'answer': '谜底：包青天'}
{'tip': '小贴士：华山论剑！', 'mystery': '谜面：华山比武开始 （打一电视剧名）', 'answer': '谜底：亮剑'}
{'tip': '小贴士：说话没有间隙。', 'mystery': '谜面：口若悬河滔滔不绝 （打一电影名）', 'answer': '谜底：无间道'}
{'tip': '', 'mystery': '谜面：剥去面罩原形毕露 （打一电影）', 'answer': '谜底：画皮'}
{'tip': '', 'mystery': '谜面：冯谖三弹铗 （打一香港电影）', 'answer': '谜底：无间道'}
{'tip': '', 'mystery': '谜面：复婚 （打三字电影）', 'answer': '谜底：再生缘'}
{'tip': '', 'mystery': '谜面：火烧赤壁 （三字电影）', 'answer': '谜底：红河谷'}
{'tip': '', 'mystery': '谜面：好汉自然爱美人 （四字电影）', 'answer': '谜底：英雄本色'}
{'tip': '', 'mystery': '谜面：反方向的激烈斗争 （打一电影）', 'answer': '谜底：逆战'}
{'tip': '', 'mystery': '谜面：冲出包围圈 （中国电影）', 'answer': '谜底：零的突破'}
{'tip': '', 'mystery': '谜面：雪岭观光团 （打一电视剧名）', 'answer': '谜底：冰山上的来客'}
{'tip': '', 'mystery': '谜面：万里定无云 （电视剧名）', 'answer': '谜底：包青天'}
{'tip': '', 'mystery': '谜面：又作冯妇 （电视剧名）', 'answer': '谜底：再向虎山行'}
{'tip': '', 'mystery': '谜面：关云长败走麦城 （打一电影名）', 'answer': '谜底：红颜劫'}
{'tip': '', 'mystery': '谜面：何处拾贝壳 （打一电影名）', 'answer': '谜底：上海滩'}
{'tip': '', 'mystery': '谜面：遍挿茱萸少一人 （打一电影）', 'answer': '谜底：独行客'}
{'tip': '', 'mystery': '谜面：掌声响起来 （打一电影名）', 'answer': '谜底：鼓手'}
{'tip': '小贴士：个个都不年轻。', 'mystery': '谜面：老北京 （六字电影）', 'answer': '谜底：一个都不能少'}
{'tip': '', 'mystery': '谜面：孤女 （三字电影）', 'answer': '谜底：聂小倩'}
{'tip': '', 'mystery': '谜面：久旱盼甘霖 （电视剧名）', 'answer': '谜底：渴望'}
{'tip': '', 'mystery': '谜面：中秋佳节大团圆 （打一电影名）', 'answer': '谜底：一个都不能少'}
{'tip': '', 'mystery': '谜面：快门 （四字电影）', 'answer': '谜底：家有喜事'}
{'tip': '', 'mystery': '谜面：何谓铁面无私 （电视剧名）', 'answer': '谜底：义不容情'}
{'tip': '', 'mystery': '谜面：余文乐情挑双生舒淇 （打一电影）', 'answer': '谜底：《情迷》'}
{'tip': '', 'mystery': '谜面：乃不知有汉 （中国电影）', 'answer': '谜底：光阴'}
{'tip': '', 'mystery': '谜面：魄 （二字电影）', 'answer': '谜底：魔表'}
{'tip': '', 'mystery': '谜面：雷声隆隆 （二字电影）', 'answer': '谜底：天音'}
{'tip': '', 'mystery': '谜面：江心一孤屿，桂开三更时。 （中国电影）', 'answer': '谜底：川岛芳子'}
{'tip': '', 'mystery': '谜面：末日 （五字电影）', 'answer': '谜底：最后的太阳'}
{'tip': '', 'mystery': '谜面：切莫招降 （外国电影）', 'answer': '谜底：不可征服的人'}
{'tip': '', 'mystery': '谜面：江州司马青衫湿 （中国电影）', 'answer': '谜底：白衣泪'}
{'tip': '', 'mystery': '谜面：横征暴敛 （中国电影）', 'answer': '谜底：特高课在行动'}
{'tip': '', 'mystery': '谜面：屡见不鲜 （二字电影）', 'answer': '谜底：新寡'}
{'tip': '', 'mystery': '谜面：离子双双握手别 （中国电影）', 'answer': '谜底：木屋'}
{'tip': '', 'mystery': '谜面：谜格 （三字电影）', 'answer': '谜底：秘密战'}
{'tip': '', 'mystery': '谜面：红颜劫 （六字电影）', 'answer': '谜底：女模特儿风波'}
{'tip': '', 'mystery': '谜面：明天立春 （六字电影）', 'answer': '谜底：最后一个冬日'}
{'tip': '', 'mystery': '谜面：湖上春来似画图 （六字电影）', 'answer': '谜底：绿色的波斯坦'}
{'tip': '', 'mystery': '谜面：铺张日久 （二字电影）', 'answer': '谜底：老店'}
{'tip': '', 'mystery': '谜面：可喜现象 （中国电影）', 'answer': '谜底：欢颜'}
{'tip': '', 'mystery': '谜面：母系社会之特征 （中国电影）', 'answer': '谜底：内当家'}
{'tip': '', 'mystery': '谜面：民间传说 （三字电影）', 'answer': '谜底：喜盈门'}
{'tip': '', 'mystery': '谜面：切削球 （五字电影）', 'answer': '谜底：分裂的世界'}
{'tip': '', 'mystery': '谜面：门前聚众 （中国电影）', 'answer': '谜底：第三个人'}
{'tip': '', 'mystery': '谜面：曲径接天台之路 （中国电影）', 'answer': '谜底：山道弯弯'}
{'tip': '', 'mystery': '谜面：理发 （四字电影）', 'answer': '谜底：生财有道'}
{'tip': '', 'mystery': '谜面：全能比赛 （五字电影）', 'answer': '谜底：都会的一角'}
{'tip': '', 'mystery': '谜面：杀人者打虎武松也 （中国电影二）', 'answer': '谜底：墙头记，谁是凶手'}
{'tip': '', 'mystery': '谜面：港口灯火似繁星·卷帘格 （三字电影）', 'answer': '谜底：夜上海'}
{'tip': '', 'mystery': '谜面：顺产 （外国电影）', 'answer': '谜底：无腿先生'}
{'tip': '', 'mystery': '谜面：气冲宵汉 （中国电影）', 'answer': '谜底：愤怒的人'}
{'tip': '', 'mystery': '谜面：然后 （四字电影）', 'answer': '谜底：点点滴滴'}
{'tip': '', 'mystery': '谜面：垃圾堆前 （二字电影）', 'answer': '谜底：净土'}
{'tip': '', 'mystery': '谜面：老有所爱 （二字电影）', 'answer': '谜底：晚钟'}
{'tip': '', 'mystery': '谜面：千山响杜鹃 （中国电影）', 'answer': '谜底：布谷鸟又叫了'}
{'tip': '', 'mystery': '谜面：广占棋盘唯车马 （中国电影）', 'answer': '谜底：二子开店'}
{'tip': '', 'mystery': '谜面：梅雪争春 （中国电影）', 'answer': '谜底：花开花落'}
{'tip': '', 'mystery': '谜面：人家不愿单干 （中国电影）', 'answer': '谜底：他们做得对'}
{'tip': '', 'mystery': '谜面：基本调整 （二字电影）', 'answer': '谜底：棋王'}
{'tip': '', 'mystery': '谜面：普遍实行晚育 （外国电影）', 'answer': '谜底：凡尔杜先生'}
{'tip': '', 'mystery': '谜面：黔西南 （二字电影）', 'answer': '谜底：黑火'}
{'tip': '', 'mystery': '谜面：人间正道是沧桑 （中国电影）', 'answer': '谜底：换房'}
{'tip': '', 'mystery': '谜面：七十人到陕西 （外国电影）', 'answer': '谜底：车队'}
{'tip': '', 'mystery': '谜面：三笑 （美术电影）', 'answer': '谜底：快乐的数字'}
{'tip': '', 'mystery': '谜面：任是深山更深处，也应无计避征徭。 （中国电影）', 'answer': '谜底：特高课在行动'}
{'tip': '', 'mystery': '谜面：谜擂 （二字电影）', 'answer': '谜底：赛虎'}
{'tip': '', 'mystery': '谜面：千里走单骑 （外国电影）', 'answer': '谜底：孤独的长跑者'}
{'tip': '', 'mystery': '谜面：儿童就是主人翁 （中国电影）', 'answer': '谜底：东方少年'}
{'tip': '', 'mystery': '谜面：非军事演习 （三字电影）', 'answer': '谜底：地道战'}
{'tip': '', 'mystery': '谜面：江楼翼瓦齐 （四字电影）', 'answer': '谜底：水上人家'}
{'tip': '', 'mystery': '谜面：兰叶春葳蕤 （中国电影）', 'answer': '谜底：王茂生进酒'}
{'tip': '', 'mystery': '谜面：龙尾 （中国电影）', 'answer': '谜底：人到中年'}
{'tip': '', 'mystery': '谜面：谭盾李安周润发 （打一电影）', 'answer': '谜底：卧虎藏龙'}
{'tip': '', 'mystery': '谜面：三笑孔明枉用兵 （中国电影）', 'answer': '谜底：哈里之战'}
{'tip': '', 'mystery': '谜面：散淡 （十字电影）', 'answer': '谜底：一半是海水，一半是火焰'}
{'tip': '', 'mystery': '谜面：防微杜渐 （打一电视剧名）', 'answer': '谜底：小小警察'}
{'tip': '', 'mystery': '谜面：情场决斗 （四字电影）', 'answer': '谜底：爱的挑战'}
{'tip': '', 'mystery': '谜面：孔子门生 （外国电影）', 'answer': '谜底：圣徒'}
{'tip': '', 'mystery': '谜面：初次相亲来杭州 （打一电视剧名）', 'answer': '谜底：一吻上天堂'}
{'tip': '', 'mystery': '谜面：曲径通幽处 （中国电影）', 'answer': '谜底：秘密小道'}
{'tip': '', 'mystery': '谜面：快乐的旅行家 （外国电影）', 'answer': '谜底：无忧过客'}
{'tip': '', 'mystery': '谜面：流年 （四字电影）', 'answer': '谜底：水上春秋'}
{'tip': '', 'mystery': '谜面：灯谜用格可解难 （四字电影）', 'answer': '谜底：虎口脱险'}
{'tip': '', 'mystery': '谜面：二进谜谷 （电视剧名）', 'answer': '谜底：再向虎山行'}
{'tip': '', 'mystery': '谜面：三岁登基·掉尾格 （三字电影）', 'answer': '谜底：小孤儿'}
{'tip': '', 'mystery': '谜面：男子单打 （七字电影）', 'answer': '谜底：战争让女人连开'}
{'tip': '', 'mystery': '谜面：宏观世界 （五字电影）', 'answer': '谜底：非常大总统'}
{'tip': '', 'mystery': '谜面：你有我有全都有 （六字电影）', 'answer': '谜底：一个都不能少'}
{'tip': '', 'mystery': '谜面：火烧兀术营 （三字电影）', 'answer': '谜底：红番区'}
{'tip': '', 'mystery': '谜面：毁容 （四字电影）', 'answer': '谜底：面目全非'}
{'tip': '', 'mystery': '谜面：买卖婚姻 （中国电影）', 'answer': '谜底：不是为了爱情'}
{'tip': '', 'mystery': '谜面：七五期间攀高峰 （中国电影）', 'answer': '谜底：六盘山'}
{'tip': '', 'mystery': '谜面：沙场秋点兵 （外国电影）', 'answer': '谜底：挑战者'}
{'tip': '', 'mystery': '谜面：漫步西单 （三字电影）', 'answer': '谜底：独行客'}
{'tip': '', 'mystery': '谜面：海一样的深情 （中国电影）', 'answer': '谜底：蓝色的爱'}
{'tip': '', 'mystery': '谜面：虎入平阳 （三字电影）', 'answer': '谜底：落山风'}
{'tip': '', 'mystery': '谜面：开始宵禁 （四字电影）', 'answer': '谜底：关键时刻'}
{'tip': '', 'mystery': '谜面：三月雪 （中国电影）', 'answer': '谜底：春寒'}
{'tip': '', 'mystery': '谜面：内人从不食言 （中国电影）', 'answer': '谜底：妻子的信'}
{'tip': '', 'mystery': '谜面：六宫粉黛无颜色 （中国电影）', 'answer': '谜底：白领丽人'}
{'tip': '', 'mystery': '谜面：人间翠幕垂 （中国电影）', 'answer': '谜底：包青天'}
{'tip': '', 'mystery': '谜面：三更明月惊残梦 （电影名三）', 'answer': '谜底：子夜，光阴，苏醒'}
{'tip': '', 'mystery': '谜面：取消四月佩带大哥大的资格·两头白格 （四字电影）', 'answer': '谜底：霸王别姬'}
{'tip': '', 'mystery': '谜面：少年食尽愁滋味·掉首格 （四字电影）', 'answer': '谜底：皆大欢喜'}
{'tip': '', 'mystery': '谜面：气海 （二字电影）', 'answer': '谜底：怒潮'}
{'tip': '', 'mystery': '谜面：考古不易 （中国电影）', 'answer': '谜底：少爷的磨难'}
{'tip': '', 'mystery': '谜面：仙女 （外国电影）', 'answer': '谜底：非凡的女人'}
{'tip': '', 'mystery': '谜面：山水纵横 （中国电影）', 'answer': '谜底：十字小溪'}
{'tip': '', 'mystery': '谜面：晓镜但愁云鬓改 （中国电影二）', 'answer': '谜底：伤逝，青春'}
{'tip': '', 'mystery': '谜面：全没头脑 （外国电影）', 'answer': '谜底：首都消失'}
{'tip': '', 'mystery': '谜面：贾宝玉做了变性手术 （打一电影名）', 'answer': '谜底：《金陵十三钗》'}
{'tip': '', 'mystery': '谜面：光屁股拜天地 （打一电视剧）', 'answer': '谜底：《裸婚时代》'}
{'tip': '小贴士：攻！', 'mystery': '谜面：两国交战 （打一电视剧名）', 'answer': '谜底：宫'}
{'tip': '', 'mystery': '谜面：全则必缺，盈则必亏。 （中国电影）', 'answer': '谜底：满意不满意'}
{'tip': '', 'mystery': '谜面：齐相悲之费二桃 （中国电影二）', 'answer': '谜底：伤逝，三个战友'}
{'tip': '', 'mystery': '谜面：失去妈妈以后 （中国电影）', 'answer': '谜底：两个少女'}
{'tip': '', 'mystery': '谜面：人贫不语 （中国电影）', 'answer': '谜底：生财有道'}
{'tip': '', 'mystery': '谜面：失恋 （四字电影）', 'answer': '谜底：爱情故事'}
{'tip': '', 'mystery': '谜面：熔 （二字电影）', 'answer': '谜底：红象'}
{'tip': '', 'mystery': '谜面：人 （中国电影）', 'answer': '谜底：大雁北飞'}
{'tip': '', 'mystery': '谜面：村野之称 （五字电影）', 'answer': '谜底：乡土的呼唤'}
{'tip': '', 'mystery': '谜面：虎头纹 （中国电影）', 'answer': '谜底：王中王'}
{'tip': '', 'mystery': '谜面：寡人无忧 （打一电影）', 'answer': '谜底：快乐的单身汉'}
{'tip': '', 'mystery': '谜面：荧屏一扫虚假风 （电视剧·探骊格）', 'answer': '谜底：陈真'}
{'tip': '', 'mystery': '谜面：你的初恋我的一生 （打一电影）', 'answer': '谜底：第一次'}
{'tip': '小贴士：《山楂树之恋》是由美籍华人艾米根据好友的经历写成的爱情故事，故事的纪录者是艾米，但对话大多是静秋原文中的。', 'mystery': '谜面：酸果亦有心 （打一电影）', 'answer': '谜底：山楂树之恋'}
{'tip': '小贴士：我爱你，是命中注定的好天气。', 'mystery': '谜面：一纸荒唐婚约衍生了一段童话爱情。 （打一电视剧）', 'answer': '谜底：幸福最晴天'}
{'tip': '', 'mystery': '谜面：日出东南隅 （五字电影）', 'answer': '谜底：缺角的太阳'}
{'tip': '小贴士：《画皮》（Painted Skin）是一部由中国大陆和香港合拍的东方爱情魔幻电影，取材《聊斋志异》故事，重新编剧。电影获华表奖优秀合拍片。', 'mystery': '谜面：绘图表 （二字电影）', 'answer': '谜底：画皮'}
{'tip': '小贴士：本片于1988年获第八届中国电影金鸡奖最佳编剧奖，最佳男配角奖（李保田），同年获第五届巴西利亚国际影视录像节最佳影片金鸟奖。1989年获法国第十一届妇女导演电影节公众大奖。', 'mystery': '谜面：生死恋 （中国电影）', 'answer': '谜底：人鬼情'}
{'tip': '小贴士：民国年间，戈壁绿洲碧玉镇。镇长马耀祖因淘金发财，置下万贯家财。但是，他的死对头雪娘却一直寻机复仇，而他现在的妻子正是雪娘之母。原来，当年他谋财害命，刺死了雪娘的亲生父亲，并乘人之危强奸了雪娘，最后又霸占了不明真相的雪娘母亲。在雪娘与仇人之间展开了一场你死我活的争斗，马耀祖罪有应得，死在雪娘枪下。', 'mystery': '谜面：狸 （四字电影）', 'answer': '谜底：西部狂野'}
{'tip': '小贴士：《生死恋》（又名《太平轮》）改编自1949年的“太平轮事件”，吴宇森执导，由大陆驶往台湾的中联轮船公司轮船“太平轮”因超载、夜间航行未开航行灯而被撞沉，导致船上近千名绅士、名流罹难。这一事件曾被称为“中国的泰坦尼克号”。', 'mystery': '谜面：人鬼情未了 （打一中国电影）', 'answer': '谜底：生死恋'}
{'tip': '小贴士：《太阳的女儿》以器官捐赠为主题，剧中施易男的未婚妻在意外身亡后，分别将心脏、眼角膜与肾脏捐赠给许玮伦、姚以缇和周采诗，日后施易男又再度巧遇三人而产生心电感应与特殊的情愫。', 'mystery': '谜面：日产千金 （中国电影）', 'answer': '谜底：太阳的女儿'}
{'tip': '小贴士：此影片第一次在中国银幕上展示了包身工——“罐装了的劳动力”的非人遭遇，并表现了她们的觉醒。影片的反帝反封建的主题是非常鲜明的。', 'mystery': '谜面：河东狮吼 （外国电影）', 'answer': '谜底：女人的呐喊'}
{'tip': '小贴士：中国第一部遮幅式宽银幕故事片。', 'mystery': '谜面：十二月三日有人来 （中国电影）', 'answer': '谜底：青春'}
{'tip': '小贴士：2008年5月12日， 中国汶川发生了世界罕见的8级特大地震，中国人民和世界人民为此事深感痛心，各自以爱心奉献。也是中国第一部表现汶川大地震后的艺术情感电影。', 'mystery': '谜面：哄堂大笑 （四字电影）', 'answer': '谜底：妈妈别哭'}
{'tip': '小贴士：本影片描述魏婶对女儿婚事要面子，要男方家具备齐后再成亲。长女玉华的男友何志东挪西借对付婚事；次女玉婷和男友田健坚持婚事新办，但田健的几个伙伴怕他对付不了丈母娘，帮他借了一套高级家具，原来是何志的。魏婶大怒，险些将两个女儿婚事搅散铸成大错。后来魏婶认识到自己的世俗观念，两对恋人言归于好。', 'mystery': '谜面：人间嫁聚苦奔忙 （中国电影）', 'answer': '谜底：烦恼的喜事'}
{'tip': '小贴士：此电影是公认的华语电影史上最伟大的电影之一，犹如一声霹雳，惊醒了西方人对中国电影所持的蔑视与迷幻。', 'mystery': '谜面：夕阳漫照青纱帐 （中国电影）', 'answer': '谜底：红高梁'}
{'tip': '小贴士：男人不要问女人以前的事，毕竟过去的事了，说的详细男人又受不了，说的简单男人心里老是打问号。', 'mystery': '谜面：燃烧的爱 （二字电影）', 'answer': '谜底：热恋'}
{'tip': '', 'mystery': '谜面：血的洗礼 （中国电影）', 'answer': '谜底：祭红'}
{'tip': '', 'mystery': '谜面：人间有苦恼 （四字电影）', 'answer': '谜底：欢天喜地'}
{'tip': '', 'mystery': '谜面：牵衣许终身 （三字电影）', 'answer': '谜底：拉郎配'}
{'tip': '', 'mystery': '谜面：欢乐进万家 （三字电影）', 'answer': '谜底：喜盈门'}
{'tip': '', 'mystery': '谜面：闪 （四字电影）', 'answer': '谜底：雷雨之前'}
{'tip': '', 'mystery': '谜面：杀惜 （五字电影）', 'answer': '谜底：一切为了爱'}
{'tip': '', 'mystery': '谜面：人的一生 （中国电影）', 'answer': '谜底：小大老传'}
{'tip': '', 'mystery': '谜面：乐斋 （四字电影）', 'answer': '谜底：爱的小屋'}
{'tip': '', 'mystery': '谜面：十五贯戏言成巧祸 （中国电影）', 'answer': '谜底：夺命钱'}
{'tip': '', 'mystery': '谜面：三代接力赛 （中国电影）', 'answer': '谜底：小大老传'}
{'tip': '', 'mystery': '谜面：千万别搞马后炮 （外国电影）', 'answer': '谜底：巴顿将军'}
{'tip': '', 'mystery': '谜面：齐步走 （四字电影）', 'answer': '谜底：统一行动'}
{'tip': '', 'mystery': '谜面：荒山古刹 （三字电影）', 'answer': '谜底：少林寺'}
{'tip': '', 'mystery': '谜面：山顶梅枝宿画眉 （中国电影）', 'answer': '谜底：女兵'}
{'tip': '', 'mystery': '谜面：老五 （三字电影）', 'answer': '谜底：陈三两'}
{'tip': '', 'mystery': '谜面：入窗秀可餐 （三字电影）', 'answer': '谜底：美食家'}
{'tip': '', 'mystery': '谜面：既昏便息 （中国电影）', 'answer': '谜底：光明行'}
{'tip': '', 'mystery': '谜面：山寺桃花始盛开 （中国电影）', 'answer': '谜底：迟到的春天'}
{'tip': '', 'mystery': '谜面：记者 （四字电影）', 'answer': '谜底：难忘的人'}
{'tip': '', 'mystery': '谜面：弱者无情 （五字电影）', 'answer': '谜底：不能没有爱'}
{'tip': '', 'mystery': '谜面：千年健 （中国电影）', 'answer': '谜底：延安岁月'}
{'tip': '', 'mystery': '谜面：静观 （四字电影）', 'answer': '谜底：于无声处'}
{'tip': '', 'mystery': '谜面：会猜前筹备之周 （中国电影）', 'answer': '谜底：猎人'}
{'tip': '', 'mystery': '谜面：十字架上安宿 （中国电影）', 'answer': '谜底：苦难的心'}
{'tip': '', 'mystery': '谜面：上马台 （中国电影）', 'answer': '谜底：蛇案'}
{'tip': '', 'mystery': '谜面：三江行人绝 （电影名二）', 'answer': '谜底：水，路卡'}
{'tip': '', 'mystery': '谜面：三男征战次子回 （外国电影）', 'answer': '谜底：难兄难弟'}
{'tip': '', 'mystery': '谜面：门中春日落 （中国电影）', 'answer': '谜底：第三个人'}
{'tip': '', 'mystery': '谜面：千古杯蛇影 （电视剧名）', 'answer': '谜底：老弓'}
{'tip': '', 'mystery': '谜面：士别一日 （中国电影）', 'answer': '谜底：十天'}
{'tip': '', 'mystery': '谜面：世界小姐未揭晓 （中国电影）', 'answer': '谜底：美元谜'}
{'tip': '', 'mystery': '谜面：体魄 （中国电影）', 'answer': '谜底：灵与肉'}
{'tip': '', 'mystery': '谜面：探花郎 （五字电影）', 'answer': '谜底：第三个男人'}
{'tip': '', 'mystery': '谜面：太平门 （四字电影）', 'answer': '谜底：紧急出路'}
{'tip': '', 'mystery': '谜面：三季度结余 （四字电影）', 'answer': '谜底：我的九月'}
{'tip': '', 'mystery': '谜面：孙武演阵 （五字电影）', 'answer': '谜底：女子别动队'}
{'tip': '', 'mystery': '谜面：五丈原诸葛禳星 （中国电影）', 'answer': '谜底：生死决斗'}
{'tip': '', 'mystery': '谜面：税务所 （外国电影）', 'answer': '谜底：第一课'}
{'tip': '', 'mystery': '谜面：三更数星星 （中国电影）', 'answer': '谜底：午夜两点'}
{'tip': '', 'mystery': '谜面：闲 （三字电影）', 'answer': '谜底：一家春'}
{'tip': '', 'mystery': '谜面：麻姑 （三字电影）', 'answer': '谜底：豆花女'}
{'tip': '', 'mystery': '谜面：闲散 （二字电影）', 'answer': '谜底：木屋'}
{'tip': '', 'mystery': '谜面：天方夜谭 （二字电影）', 'answer': '谜底：黑云'}
{'tip': '', 'mystery': '谜面：乡下少爷 （中国电影）', 'answer': '谜底：没有爸爸的村庄'}
{'tip': '', 'mystery': '谜面：屡败屡战 （中国电影）', 'answer': '谜底：北斗'}
{'tip': '', 'mystery': '谜面：天高任鸟飞 （电影名二）', 'answer': '谜底：如意，翔'}
{'tip': '', 'mystery': '谜面：灰法掩盖百花姿 （外国电影）', 'answer': '谜底：埃及艳后'}
{'tip': '', 'mystery': '谜面：减少 （三字电影）', 'answer': '谜底：差不多'}
{'tip': '', 'mystery': '谜面：入户查鼠情 （中国电影）', 'answer': '谜底：瞧这一家子'}
{'tip': '', 'mystery': '谜面：山环山，山连山。 （中国电影）', 'answer': '谜底：日出'}
{'tip': '', 'mystery': '谜面：山姆大叔的故事 （中国电影）', 'answer': '谜底：美人之死'}
{'tip': '', 'mystery': '谜面：姗妹报警 （七字电影）', 'answer': '谜底：大红灯笼高高挂'}
{'tip': '', 'mystery': '谜面：简短发言 （五字电影）', 'answer': '谜底：小小一片云'}
{'tip': '', 'mystery': '谜面：烫发 （三字电影）', 'answer': '谜底：卷毛头'}
{'tip': '', 'mystery': '谜面：京娘 （五字电影）', 'answer': '谜底：都是我妈妈'}
{'tip': '', 'mystery': '谜面：十月留影 （中国电影）', 'answer': '谜底：秋天的印象'}
{'tip': '', 'mystery': '谜面：兢 （中国电影）', 'answer': '谜底：胜利重逢'}
{'tip': '', 'mystery': '谜面：留取丹心照汉青 （中国电影）', 'answer': '谜底：宋世杰'}
{'tip': '', 'mystery': '谜面：十月某日 （外国电影）', 'answer': '谜底：在阴谋者中间'}
{'tip': '', 'mystery': '谜面：世世逢太平 （中国电影）', 'answer': '谜底：烽火少年'}
{'tip': '', 'mystery': '谜面：乡音断 （五字电影）', 'answer': '谜底：失信的村庄'}
{'tip': '', 'mystery': '谜面：血洒征袍有健儿 （中国电影）', 'answer': '谜底：红衣少女'}
{'tip': '', 'mystery': '谜面：三尺胡同居宿彦 （中国电影）', 'answer': '谜底：小巷名流'}
{'tip': '', 'mystery': '谜面：山神庙林冲除贼 （外国电影二）', 'answer': '谜底：风雪黄昏，复仇'}
{'tip': '', 'mystery': '谜面：闲吹玉笛暗飞声 （五字电影）', 'answer': '谜底：没事偷着乐'}
{'tip': '', 'mystery': '谜面：四世同堂 （中国电影）', 'answer': '谜底：一家人上下集'}
{'tip': '', 'mystery': '谜面：岁寒犹自呼鹰犬 （中国电影）', 'answer': '谜底：冬猎'}
{'tip': '', 'mystery': '谜面：陕西赞歌 （二字电影）', 'answer': '谜底：秦颂'}
{'tip': '', 'mystery': '谜面：十亿神州沐朝晖 （中国电影）', 'answer': '谜底：光明的中国'}
{'tip': '', 'mystery': '谜面：三明一日游 （电影名）', 'answer': '谜底：月月'}
